#time	#addressInBinary	#r/w
1	198	w
10	100	r
12	173	r
10	252	w
3	1	w
4	86	r
7	124	w
13	191	w
3	27	r
12	175	r
8	99	r
7	44	r
3	39	r
14	16	r
9	86	w
14	90	w
15	204	w
8	134	w
3	148	r
7	63	w
3	33	r
3	195	r
12	110	r
4	237	r
12	229	w
2	244	w
1	202	w
3	142	w
8	224	w
14	49	r
14	19	w
2	78	w
7	69	w
1	166	r
11	109	w
4	156	w
13	137	r
12	175	r
7	206	r
18	1	w
3	248	w
2	22	w
3	134	r
8	112	r
10	228	w
15	58	r
1	202	w
17	98	r
17	134	r
1	204	w
11	114	r
12	153	r
7	6	r
3	37	r
5	229	r
4	41	r
2	231	w
13	233	w
3	189	w
15	68	w
7	174	w
7	15	w
17	181	w
5	229	r
7	69	w
15	66	w
14	122	r
15	116	r
10	225	w
3	141	w
11	123	w
16	163	r
1	27	w
18	105	r
3	253	w
16	188	r
1	223	r
12	49	r
6	20	w
1	14	w
13	236	r
18	32	r
9	66	w
6	90	w
13	140	r
14	189	r
14	24	w
10	131	r
17	232	r
16	4	w
